feature,lstm,gru
day,0.4235519812104,0.22828926190902846
hour,0.11009671528962604,0.09183863260962986
minute,0.016027026168213127,0.017669876710455484
is_weekend,0.15768458594374482,0.13817855232585227
temp,0.05279687640378181,0.1536960266645684
humidity,0.23611709896306718,0.3658287850222389
precip,0.0037257160211669822,0.004498864758226577
